_id,Amount,GLNo,Date,NotingType,Source[0],Source[1],COB,Key,Find
675277da3606ba2acbdb3a9b,66,GL094264/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094264/243009202466,FALSE
675277da3606ba2acbdb3a9c,32,GL094265/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094265/243009202432,FALSE
675277da3606ba2acbdb3a9d,336,GL094266/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094266/2430092024336,FALSE
675277da3606ba2acbdb3a9e,366,GL094267/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094267/2430092024366,FALSE
675277da3606ba2acbdb3a9f,366,GL094268/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094268/2430092024366,FALSE
675277da3606ba2acbdb3aa0,691,GL094269/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094269/2430092024691,FALSE
675277da3606ba2acbdb3aa1,579,GL094270/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094270/2430092024579,FALSE
675277da3606ba2acbdb3aa2,183,GL094272/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094272/2430092024183,FALSE
675277da3606ba2acbdb3aa3,310,GL094273/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094273/2430092024310,FALSE
675277da3606ba2acbdb3aa4,139,GL094276/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094276/2430092024139,FALSE
675277da3606ba2acbdb3aa5,152,GL094277/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094277/2430092024152,FALSE
675277da3606ba2acbdb3aa6,972,GL094279/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094279/2430092024972,FALSE
675277da3606ba2acbdb3aa7,600,GL094280/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094280/2430092024600,FALSE
675277da3606ba2acbdb3aaa,362,GL094284/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094284/2430092024362,FALSE
675277da3606ba2acbdb3aa8,204,GL094281/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094281/2430092024204,FALSE
675277da3606ba2acbdb3aa9,592,GL094283/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094283/2430092024592,FALSE
675277da3606ba2acbdb3aab,438,GL094285/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094285/2430092024438,FALSE
675277da3606ba2acbdb3aac,217,GL094289/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094289/2430092024217,FALSE
675277da3606ba2acbdb3aad,1433,GL094290/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094290/24300920241433,FALSE
675277da3606ba2acbdb3ab0,687,GL094294/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094294/2430092024687,FALSE
675277da3606ba2acbdb3aaf,1562,GL094293/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094293/24300920241562,FALSE
675277da3606ba2acbdb3aae,478,GL094291/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094291/2430092024478,FALSE
675277da3606ba2acbdb3ab2,100,GL094296/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094296/2430092024100,FALSE
675277da3606ba2acbdb3ab1,796,GL094295/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094295/2430092024796,FALSE
675277da3606ba2acbdb3ab3,186,GL094297/24,2024-09-30T00:00:00.000Z,IntDue,LoanStatus_2024-09-30,,30092024,GL094297/2430092024186,FALSE
